date,high_c,low_c
2022-09-03,33.9,26.9
2022-09-04,34.7,27.7
2022-09-05,35.3,28.8
2022-09-06,34.5,28.4
2022-09-07,29.6,26.7
2022-09-08,32.8,27.8
2022-09-09,33.3,27.5
2022-09-10,31.4,27.6
2022-09-11,32.1,27.4
2022-09-12,33.7,28.2
2022-09-13,35.9,28.8
2022-09-14,35.5,29.6
2022-09-15,34.5,28.7
2022-09-16,33.8,28.6
2022-09-17,33.9,29.1
2022-09-18,34.0,27.4
2022-09-19,32.3,25.9
2022-09-20,30.7,26.2
2022-09-21,30.4,25.8
2022-09-22,31.2,26.9
2022-09-23,32.1,25.6
2022-09-24,31.0,25.8
2022-09-25,32.7,26.9
2022-09-26,33.7,27.2
2022-09-27,32.3,28.1
2022-09-28,31.2,27.7
2022-09-29,29.7,25.0
2022-09-30,28.3,24.8
2022-10-01,30.5,25.7
2022-10-02,31.9,27.7
2022-10-03,33.0,27.5
2022-10-04,33.5,27.5
2022-10-05,31.4,27.8
2022-10-06,32.0,27.3
2022-10-07,31.5,25.8
2022-10-08,30.4,26.0
2022-10-09,31.0,23.7
2022-10-10,26.6,21.6
2022-10-11,28.1,21.2
2022-10-12,29.6,21.9
2022-10-13,29.6,23.3
2022-10-14,31.0,24.9
2022-10-15,31.6,24.1
2022-10-16,31.3,25.6
2022-10-17,29.0,26.3
2022-10-18,26.7,17.3
2022-10-19,26.2,18.3
2022-10-20,27.2,22.7
2022-10-21,28.5,23.2
2022-10-22,30.3,22.8
2022-10-23,30.7,24.3
2022-10-24,27.1,23.8
2022-10-25,25.8,22.6
2022-10-26,26.7,22.0
2022-10-27,28.1,22.4
2022-10-28,30.0,23.3
2022-10-29,30.0,23.7
2022-10-30,28.2,22.6
2022-10-31,27.2,23.8
2022-11-01,25.3,18.9
2022-11-02,21.5,18.9
2022-11-03,23.2,20.9
2022-11-04,24.0,21.9
2022-11-05,22.2,20.8
2022-11-06,22.5,19.3
2022-11-07,23.5,19.7
2022-11-08,23.7,20.6
2022-11-09,26.7,21.6
2022-11-10,27.9,23.0
2022-11-11,28.1,23.5
2022-11-12,26.8,23.3
2022-11-13,28.5,22.9
2022-11-14,25.7,23.2
2022-11-15,26.0,23.4
2022-11-16,25.8,23.2
2022-11-17,27.2,22.9
2022-11-18,26.9,23.1
